carta,categoria,item,descripcion,alergenos,notas,precio_eur,precio_alt_eur
CARTA JARDIN,Bocados para empezar,Croquetas de Jamón ibérico,"Croquetas cremosas de jamón ibérico rebozadas en panko (7 ud).","Lácteos|Huevos","",15.50,
CARTA JARDIN,Bocados para empezar,Burrata al pesto con fruta de temporada,"Ensalada de burrata con tomate rosa, higos y fresas, aliñada con salsa de pesto y vinagre balsámico.","Dióxido de Azufre y Sulfitos|Lácteos|Frutos de Cáscara","",22.00,
CARTA JARDIN,Bocados para empezar,Revuelto de Boletus y Foie,"Revuelto de boletus guisado con cebolla caramelizada y escalope de foie.","Huevos","",24.95,
CARTA JARDIN,Bocados para empezar,Ensaladilla rusa con ventresca y tostada de aceite de oliva,"Ensaladilla rusa casera con vinagreta de piparra, esferificación de aceituna negra y verde, piparra laminada, polvo de aceituna negra, ventresca de atún y tosta de pan cristal.","Huevos|Pescado","Opción sin gluten",16.00,
CARTA JARDIN,Bocados para empezar,Jamón Ibérico,"Jamón ibérico Reserva de la Familia de Julián Martín, acompañado de picos de pan.","","",33.00,
CARTA JARDIN,Bocados para empezar,Torreznos de Soria con patata revolcona,"Torreznos de Soria horneados, acompañados de patata revolcona, con pimentón dulce de La Vera ahumado, sal de chistorra asada, aceite de pimentón y pimientos de padrón fritos.","","",14.00,
CARTA JARDIN,Bocados para empezar,Sobao con anchoa ahumada y crema de queso Cabrales,"Sobao Pasiego casero acompañado con crema de queso cabrales y coronado con una anchoa del Cantábrico ahumada (2 ud).","Lácteos|Pescado","",12.95,
CARTA JARDIN,Pan y Aperitivo,Pan y Aperitivo,"","",,2.25,
CARTA JARDIN,Nuestros arroces para compartir,Arroz al horno con carrillera,"Para 2 personas. Precio por persona. Arroz “Molino Roca” cocinado en llauna con carrillera guisada, pimientos de padrón, trompeta de la muerte, alioli de ajo asado y salsa demiglace","Dióxido de Azufre y Sulfitos|Huevos|Apio","",24.00,
CARTA JARDIN,Nuestros arroces para compartir,Arroz meloso con bogavante,"Para dos personas, Precio por persona. Arroz “Molino Roca” cocinado en salsa americana y con un bogavante por arroz.","Dióxido de Azufre y Sulfitos|Pescado|Apio|Crustáceos|Moluscos","",35.00,
CARTA JARDIN,Alma Carnívora,Lagarto Ibérico al Pedro Ximénez,"Lagarto ibérico a la brasa glaseado con una reducción de Pedro Ximénez sobre una base de espuma de patata, milhojas de patata y brotes de temporada.","Dióxido de Azufre y Sulfitos|Lácteos","",25.00,
CARTA JARDIN,Alma Carnívora,Chuletón a la brasa,"Chuletón de alta maduración, 45 días, cocinado a la brasa de carbón leña y sal Maldon.","","",95.00,
CARTA JARDIN,Alma Carnívora,Lomo de vaca a la pimienta,"Lomo bajo a la brasa de carbón leña napado con salsa pimienta y acompañado de patatas fritas.","Lácteos","",27.00,
CARTA JARDIN,Alma Carnívora,Steak tartar con torta de pan de aceite,"Steak tartar de solomillo de ternera cortado a cuchillo, preparado en mesa, con picante al gusto.","Dióxido de Azufre y Sulfitos|Huevos|Pescado|Soja|Mostaza","opción sin gluten",28.00,
CARTA JARDIN,Alma Marinera,Merluza en salsa verde,"Merluza a la brasa con salsa verde y acompañado de mini patatas asadas.","Pescado","",26.00,
CARTA JARDIN,Alma Marinera,Rape a la Mediterránea,"Rape a la brasa acompañado de tomate cherry, albahaca, piquillos, mini patatas y tomillo.","Lácteos|Pescado","",29.00,
CARTA JARDIN,Alma Marinera,Chipirones encebollados,"Chipirones salteados y guisados con cebolla caramelizada y guindilla vasca.","Moluscos","",29.00,
CARTA JARDIN,Alma Marinera,Pulpo a la brasa con espuma de patata,"Pulpo a la brasa de carbón leña con espuma de puré de patata, pimentón dulce de la vera y AOVE.","Lácteos|Moluscos","",28.00,
CARTA JARDIN,Alma Marinera,Txangurro a la Donostiarra,"Centollo desmigado gratinado con crema de mariscos, cebolla caramelizada, Brandy y mantequilla. Acompañado de pan cristal.","Lácteos|Crustáceos|Moluscos","",26.00,
CARTA JARDIN,Guarniciones,Ensalada a la Donostiarra,"","Dióxido de Azufre y Sulfitos","",4.00,
CARTA JARDIN,Guarniciones,Patatas fritas,"","","",4.00,
CARTA JARDIN,Guarniciones,Piquillos confitados,"","","",6.00,
CARTA JARDIN,Guarniciones,Pan cristal con tomate,"","","",4.50,
CARTA JARDIN,Alma Pastelera,Brownie de chocolate,"Brownie de chocolate negro y mantequilla tostada acompañado de helado de caramelo salado y sal Maldon.","Lácteos|Huevos|Frutos de Cáscara","",9.00,
CARTA JARDIN,Alma Pastelera,Coulant de avellana,"Coulant de avellana horneado al momento (8min), fundido por dentro, acompañado de helado de frutos rojos.","Dióxido de Azufre y Sulfitos|Lácteos|Huevos|Frutos de Cáscara","",11.00,
CARTA JARDIN,Alma Pastelera,Milhojas de maracuyá,"Milhojas con crema diplomática de maracuyá y helado de coco.","Lácteos","",12.00,
CARTA JARDIN,Alma Pastelera,Torrija de toffee y jengibre,"Torrija en pan brioche macerada en toffee, jengibre y cítricos, acompañado de helado de café.","Dióxido de Azufre y Sulfitos|Lácteos|Huevos|Frutos de Cáscara","",9.00,
CARTA DE VINOS,Tintos DOP Madrid y Sierra de Gredos,El Hombre Bala,"98% Garnacha 2% Cariñena.","","",41.00,
CARTA DE VINOS,Tintos DOP Madrid y Sierra de Gredos,Península,"Vino de montaña, Sierra de Gredos y Gata. 75% Garnacha, 15% Rufete y 10% Piñuela.","","",25.00,
CARTA DE VINOS,Tintos DOP Madrid y Sierra de Gredos,Molaracha,"95% Garnacha y 5% Malvar. Bodega Tinta Castiza.","","",33.00,
